Date,Open,High,Low,Close,Adj Close,Volume
3/29/2023,1966.10,1966.10,1966.10,1966.10,1966.10,21.00
3/28/2023,1972.40,1972.40,1972.40,1972.40,1972.40,21.00
3/27/2023,1957.20,1957.20,1952.40,1952.40,1952.40,877.00
3/24/2023,1991.70,1995.40,1982.10,1982.10,1982.10,19.00
3/23/2023,1990.50,1994.60,1990.50,1993.80,1993.80,33.00
3/22/2023,1946.80,1974.00,1946.80,1946.80,1946.80,50.00
3/21/2023,1973.80,1973.80,1938.00,1938.00,1938.00,47.00
3/20/2023,1988.30,2003.90,1968.90,1979.20,1979.20,389.00
3/17/2023,1946.00,1985.10,1946.00,1969.80,1969.80,82.00
3/16/2023,1909.90,1931.70,1909.90,1919.00,1919.00,394.00
3/15/2023,1903.90,1926.60,1898.50,1926.60,1926.60,564.00
3/14/2023,1912.20,1912.20,1901.10,1906.20,1906.20,107.00
3/13/2023,1890.80,1913.10,1875.10,1911.70,1911.70,503.00
3/10/2023,1852.30,1868.50,1852.00,1862.00,1862.00,248.00
3/9/2023,1816.40,1829.30,1815.60,1829.30,1829.30,332.00
3/8/2023,1811.60,1812.90,1811.50,1812.70,1812.70,75.00
3/7/2023,1840.90,1840.90,1813.90,1813.90,1813.90,450.00
3/6/2023,1853.30,1853.80,1844.20,1847.90,1847.90,5.00
3/3/2023,1837.30,1855.40,1837.30,1847.70,1847.70,61.00
3/2/2023,1830.00,1836.30,1830.00,1833.50,1833.50,154.00
3/1/2023,1827.10,1841.70,1827.10,1837.70,1837.70,211.00
2/28/2023,1808.10,1830.00,1808.10,1828.90,1828.90,618.00
2/27/2023,1811.60,1817.50,1808.90,1817.00,1817.00,829.00
2/24/2023,1808.80,1808.80,1808.80,1808.80,1808.80,404.00
2/23/2023,1826.40,1827.50,1818.00,1818.00,1818.00,291.00
2/22/2023,1835.70,1836.20,1825.10,1832.00,1832.00,278.00
2/21/2023,1842.60,1843.00,1833.00,1833.00,1833.00,862.00
2/17/2023,1827.40,1842.20,1818.40,1840.40,1840.40,35.00
2/16/2023,1838.60,1843.70,1827.20,1842.00,1842.00,222.00
2/15/2023,1842.00,1842.00,1828.20,1834.20,1834.20,368.00
2/14/2023,1854.10,1862.00,1846.20,1854.00,1854.00,656.00
2/13/2023,1859.00,1861.00,1850.00,1851.90,1851.90,569.00
2/10/2023,1861.60,1863.50,1852.40,1862.80,1862.80,27.00
2/9/2023,1875.30,1884.60,1859.80,1866.20,1866.20,223.00
2/8/2023,1872.10,1880.40,1872.10,1877.40,1877.40,230.00
2/7/2023,1870.00,1875.70,1868.00,1871.70,1871.70,297.00
2/6/2023,1865.60,1880.00,1863.40,1866.20,1866.20,424.00
2/3/2023,1912.40,1917.00,1861.50,1862.90,1862.90,992.00
2/2/2023,1952.30,1959.10,1911.30,1916.30,1916.30,748.00
2/1/2023,1927.20,1955.00,1922.00,1927.80,1927.80,2290.00
1/31/2023,1923.00,1930.40,1900.60,1929.50,1929.50,1910.00
1/30/2023,1928.30,1933.60,1920.30,1922.90,1922.90,27220.00
1/27/2023,1928.60,1928.60,1928.60,1928.60,1928.60,150902.00
1/26/2023,1936.60,1937.10,1927.10,1929.10,1929.10,131.00
1/25/2023,1941.20,1941.20,1939.80,1941.20,1941.20,7.00
1/24/2023,1931.80,1936.80,1931.80,1933.90,1933.90,201.00
1/23/2023,1926.50,1927.10,1915.00,1927.10,1927.10,218.00
1/20/2023,1922.10,1928.50,1921.40,1926.40,1926.40,1346.00
1/19/2023,1922.10,1931.80,1922.10,1922.10,1922.10,371.00
1/18/2023,1911.10,1911.10,1903.10,1904.40,1904.40,1027.00
1/17/2023,1920.10,1920.10,1905.20,1907.20,1907.20,706.00
1/16/2023,1920.10,1920.10,1912.40,1912.40,1912.40,512.00
1/13/2023,1899.00,1920.90,1898.30,1918.40,1918.40,512.00
1/12/2023,1877.20,1897.40,1877.20,1895.50,1895.50,59.00
1/11/2023,1873.10,1877.80,1873.10,1874.60,1874.60,1236.00
1/10/2023,1877.80,1878.10,1871.60,1871.60,1871.60,101.00
1/9/2023,1867.00,1880.00,1867.00,1872.70,1872.70,62.00
1/6/2023,1838.40,1868.20,1835.30,1864.20,1864.20,26.00
1/5/2023,1855.20,1855.20,1834.80,1834.80,1834.80,24.00
1/4/2023,1845.60,1859.10,1845.60,1852.80,1852.80,25.00
1/3/2023,1836.20,1839.70,1836.20,1839.70,1839.70,29.00
12/30/2022,1817.00,1822.30,1816.80,1819.70,1819.70,95.00
12/29/2022,1805.80,1819.50,1805.80,1819.50,1819.50,277.00
12/28/2022,1803.20,1807.90,1803.10,1807.90,1807.90,434.00
12/27/2022,1803.40,1826.30,1803.40,1814.80,1814.80,69.00
12/23/2022,1794.30,1802.80,1794.10,1795.90,1795.90,49.00
12/22/2022,1818.10,1818.10,1785.00,1787.00,1787.00,411.00
12/21/2022,1817.40,1821.40,1814.40,1815.90,1815.90,35.00
12/20/2022,1786.50,1821.40,1786.50,1815.90,1815.90,51.00
12/19/2022,1791.60,1796.30,1785.60,1787.70,1787.70,79.00
12/16/2022,1777.90,1791.40,1777.90,1790.00,1790.00,206.00
12/15/2022,1801.00,1801.00,1774.80,1777.20,1777.20,421.00
12/14/2022,1810.80,1812.80,1797.90,1807.50,1807.50,1074.00
12/13/2022,1780.70,1819.80,1780.50,1813.90,1813.90,205.00
12/12/2022,1787.30,1793.90,1777.70,1780.50,1780.50,85.00
12/9/2022,1794.90,1804.30,1791.10,1798.10,1798.10,125.00
12/8/2022,1782.00,1790.90,1782.00,1788.70,1788.70,713.00
12/7/2022,1769.30,1790.30,1769.30,1785.50,1785.50,422.00
12/6/2022,1768.60,1779.40,1767.90,1769.30,1769.30,105.00
12/5/2022,1795.70,1808.00,1764.30,1767.40,1767.40,1713.00
12/2/2022,1802.00,1802.30,1779.40,1795.90,1795.90,1725.00
12/1/2022,1768.70,1803.70,1768.70,1801.10,1801.10,1053.00
11/30/2022,1748.10,1769.40,1745.10,1746.00,1746.00,3339.00
11/29/2022,1739.50,1758.20,1737.90,1748.40,1748.40,19416.00
11/28/2022,1741.30,1741.30,1740.10,1740.10,1740.10,132767.00
11/25/2022,1753.00,1757.90,1749.20,1753.30,1753.30,216.00
11/23/2022,1736.50,1750.90,1736.50,1744.90,1744.90,39.00
11/22/2022,1741.70,1741.70,1738.30,1738.30,1738.30,15.00
11/21/2022,1739.00,1744.90,1736.10,1737.40,1737.40,544.00
11/18/2022,1763.30,1763.30,1747.60,1751.90,1751.90,414.00
11/17/2022,1763.00,1763.00,1756.00,1760.80,1760.80,18.00
11/16/2022,1776.60,1778.90,1773.00,1773.00,1773.00,303.00
11/15/2022,1770.80,1773.80,1769.90,1773.80,1773.80,57.00
11/14/2022,1762.00,1773.60,1761.60,1773.60,1773.60,358.00
11/11/2022,1763.80,1766.00,1757.60,1766.00,1766.00,257.00
11/10/2022,1708.20,1750.30,1708.20,1750.30,1750.30,325.00
11/9/2022,1707.40,1720.20,1706.00,1710.10,1710.10,497.00
11/8/2022,1703.20,1712.10,1703.20,1712.10,1712.10,23.00
11/7/2022,1676.90,1677.90,1672.90,1676.50,1676.50,42.00
11/4/2022,1630.20,1674.50,1629.00,1672.50,1672.50,159.00
11/3/2022,1629.20,1629.20,1615.10,1627.30,1627.30,1427.00
11/2/2022,1650.80,1664.70,1634.00,1645.70,1645.70,612.00
11/1/2022,1630.80,1653.70,1630.80,1645.00,1645.00,985.00
10/31/2022,1641.80,1641.80,1633.40,1635.90,1635.90,522.00
10/28/2022,1661.00,1661.00,1638.70,1639.60,1639.60,626.00
10/27/2022,1660.70,1660.70,1660.70,1660.70,1660.70,2298.00
10/26/2022,1649.80,1667.00,1649.80,1664.00,1664.00,89.00
10/25/2022,1648.20,1652.80,1637.30,1652.80,1652.80,880.00
10/24/2022,1662.70,1662.70,1648.70,1648.70,1648.70,29.00
10/21/2022,1634.10,1653.90,1634.10,1651.00,1651.00,224.00
10/20/2022,1622.80,1641.40,1622.80,1630.80,1630.80,477.00
10/19/2022,1637.50,1637.50,1627.50,1627.50,1627.50,84.00
10/18/2022,1651.40,1655.20,1649.00,1649.00,1649.00,597.00
10/17/2022,1650.20,1657.00,1646.80,1657.00,1657.00,238.00
10/14/2022,1665.30,1667.00,1640.00,1641.70,1641.70,82.00
10/13/2022,1675.20,1675.30,1641.50,1670.00,1670.00,729.00
10/12/2022,1668.00,1672.70,1668.00,1670.30,1670.30,149.00
10/11/2022,1661.80,1678.70,1661.00,1678.70,1678.70,167.00
10/10/2022,1693.40,1693.40,1667.00,1667.30,1667.30,195.00
10/7/2022,1710.10,1710.10,1693.70,1700.50,1700.50,179.00
10/6/2022,1721.00,1723.30,1709.10,1711.70,1711.70,133.00
10/5/2022,1724.10,1726.60,1703.00,1711.40,1711.40,418.00
10/4/2022,1701.20,1728.00,1696.00,1721.10,1721.10,291.00
10/3/2022,1667.20,1700.00,1661.90,1692.90,1692.90,410.00
9/30/2022,1661.70,1672.70,1658.00,1662.40,1662.40,548.00
9/29/2022,1657.00,1662.60,1640.00,1658.50,1658.50,6028.00
9/28/2022,1620.40,1660.40,1620.40,1660.40,1660.40,18311.00
9/27/2022,1632.20,1636.60,1626.70,1626.70,1626.70,888.00
9/26/2022,1623.30,1623.30,1623.30,1623.30,1623.30,1205.00
9/23/2022,1667.00,1667.00,1645.30,1645.30,1645.30,1224.00
9/22/2022,1668.30,1670.80,1668.30,1670.80,1670.80,973.00
9/21/2022,1665.50,1680.10,1664.60,1664.60,1664.60,2337.00
9/20/2022,1659.70,1659.70,1659.70,1659.70,1659.70,2830.00
9/19/2022,1661.80,1669.40,1658.50,1666.20,1666.20,580.00
9/16/2022,1660.40,1674.90,1651.70,1671.70,1671.70,464.00
9/15/2022,1685.50,1686.00,1662.30,1665.40,1665.40,1125.00
9/14/2022,1698.70,1701.80,1696.50,1696.50,1696.50,532.00
9/13/2022,1720.50,1720.50,1697.30,1705.00,1705.00,432.00
9/12/2022,1727.40,1728.10,1727.40,1728.10,1728.10,68.00
9/9/2022,1719.20,1720.00,1712.80,1716.20,1716.20,635.00
9/8/2022,1718.20,1718.20,1705.30,1708.00,1708.00,1193.00
9/7/2022,1694.80,1715.30,1694.70,1715.30,1715.30,651.00
9/6/2022,1709.70,1717.40,1699.70,1700.40,1700.40,697.00
9/2/2022,1703.40,1715.70,1703.10,1709.80,1709.80,182.00
9/1/2022,1707.90,1707.90,1693.90,1696.60,1696.60,683.00
8/31/2022,1718.30,1720.90,1708.50,1712.80,1712.80,2133.00
8/30/2022,1736.40,1739.00,1720.70,1723.20,1723.20,385.00
8/29/2022,1732.40,1741.20,1732.10,1736.60,1736.60,950.00
8/26/2022,1754.00,1755.00,1736.10,1736.10,1736.10,202.00
8/25/2022,1761.60,1761.80,1755.00,1757.70,1757.70,172.00
8/24/2022,1745.00,1751.80,1743.60,1747.80,1747.80,187.00
8/23/2022,1738.00,1748.90,1731.90,1746.80,1746.80,509.00
8/22/2022,1740.50,1740.50,1726.50,1734.00,1734.00,347.00
8/19/2022,1753.70,1754.30,1747.50,1747.60,1747.60,49.00
8/18/2022,1762.90,1762.90,1753.40,1755.30,1755.30,321.00
8/17/2022,1769.70,1769.70,1760.00,1760.30,1760.30,23.00
8/16/2022,1777.40,1777.40,1771.40,1773.20,1773.20,308.00
8/15/2022,1799.00,1799.00,1774.70,1781.40,1781.40,64.00
8/12/2022,1786.30,1800.40,1784.30,1798.60,1798.60,187.00
8/11/2022,1794.30,1794.30,1785.70,1789.70,1789.70,1235.00
8/10/2022,1804.40,1804.90,1787.80,1795.60,1795.60,601.00
8/9/2022,1790.00,1796.10,1789.00,1794.00,1794.00,249.00
8/8/2022,1771.80,1786.80,1771.80,1786.80,1786.80,127.00
8/5/2022,1791.20,1791.40,1764.20,1772.90,1772.90,645.00
8/4/2022,1769.40,1792.10,1767.70,1788.50,1788.50,285.00
8/3/2022,1756.70,1770.50,1753.00,1758.00,1758.00,399.00
